band_index,band_name,mean,std
0,l30_doy,196.76380115267193,92.67637496037409
1,l30_coastal,0.04611228813028319,0.03492505704665629
2,l30_blue,0.057226034962157495,0.040415963072915694
3,l30_green,0.08687253831272893,0.05148412361206018
4,l30_red,0.10044807494770715,0.07164602567037982
5,l30_nir,0.24317124471400753,0.099470763731485
6,l30_swir1,0.23585455557507334,0.11028312791664979
7,l30_swir2,0.1663769445760138,0.10095012758408381
8,l30_bt1,23.145353377808387,11.563128652974152
9,l30_bt2,21.924830425076262,10.817298734367954
12,l30_vz,4.2792889246182595,2.3482481435850904
13,l30_va,186.64300441478812,87.12530196844924
14,l30_sz,40.31031772725085,13.600560125919603
15,l30_sa,144.02528882931787,14.060747089724767
16,l30_szn,39.37486605370346,13.923479707432065
20,l30_year,2021.3706540329356,2.5844925729360853
21,l30_lat,38.732803740813,5.143259153363025
22,l30_lon,-100.83187748414922,13.435817037959652
23,l30_dem,758.290338935203,724.802257642001
24,l30_slope,5.332362066438795,6.711279219016208
25,l30_aspect,184.31934105351297,101.92100699099234
0,s30_doy,197.15341788312418,93.32820595984093
1,s30_coastal,0.044830725095889694,0.03412609137854139
2,s30_blue,0.05345601815957708,0.03989206124478779
3,s30_green,0.08247037631604635,0.05133123576142976
4,s30_red,0.09900517698856177,0.0722262901056753
5,s30_nirA,0.2409268671004815,0.10073101088698443
6,s30_swir1,0.2412179619507481,0.11274576744533231
7,s30_swir2,0.16919434927458815,0.10164775206216252
8,s30_edge1,0.12619202033271995,0.07036610226637367
9,s30_edge2,0.18876565630194886,0.07871102816760556
10,s30_edge3,0.2165807487394762,0.0934874547435573
11,s30_nir8,0.22184939153036853,0.09402674686036051
12,s30_vz,6.310622827015903,3.172478951736436
13,s30_va,189.99848254057224,93.20261568771606
14,s30_sz,38.5767695925251,14.404601599005005
15,s30_sa,151.15681529039173,13.169443277509952
16,s30_szn,39.5984474805442,14.067571811155213
20,s30_year,2021.1120524434873,2.398115403957881
21,s30_lat,38.794171898555135,5.141753701612556
22,s30_lon,-101.20878864324048,13.349458939829564
23,s30_dem,758.290338935203,724.802257642001
24,s30_slope,5.332362066438795,6.711279219016208
25,s30_aspect,184.31934105351297,101.92100699099234
